med,med_class,super_class,pharm class,theraputic class,route
spiriva respimat,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
spiriva respimat in,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
tiotropium bromide monohydrate,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
tudorza pressair,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
umeclidinium bromide,anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol in,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol sulfate,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol sulfate hfa,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol sulfate hfa in,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
albuterol sulfate in,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
levalbuterol hcl,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
levalbuterol tartrate,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
proair hfa,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
proair hfa in,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
proair respiclick,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
ventolin hfa,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
xopenex hfa in,b-agonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
anoro ellipta,b-agonist/anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
combivent respimat,b-agonist/anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
ipratropium-albuterol,b-agonist/anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
stiolto respimat,b-agonist/anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
tiotropium bromide-olodaterol,b-agonist/anticholinergic,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
arnuity ellipta,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
asmanex,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
beclomethasone diprop hfa,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
beclomethasone dipropionate,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
budesonide,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
budesonide in,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
flovent diskus,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
flovent hfa,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
flovent hfa in,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
flovent in,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
flunisolide hfa,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone propionate,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone propionate (inhal),inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone propionate hfa,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
pulmicort flexhaler,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
pulmicort in,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
qvar,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
qvar in,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
qvar redihaler,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
theophylline er,inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
arformoterol tartrate,laba,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
brovana,laba,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
formoterol fumarate,laba,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
salmeterol xinafoate,laba,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
serevent diskus,laba,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
advair diskus,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
advair diskus in,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
advair hfa,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
advair hfa in,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
airduo respiclick,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
breo ellipta,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
breo ellipta in,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
budesonide-formoterol fumarate,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
dulera,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
dulera in,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone furoate-vilanterol,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone-salmeterol,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
fluticasone-umeclidin-vilant,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
mometasone furo-formoterol fum,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
symbicort,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
symbicort in,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
wixela inhub,laba/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
anoro ellipta in,laba/lama,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
bevespi aerosphere in,laba/lama,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
stiolto respimat in,laba/lama,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
umeclidinium-vilanterol,laba/lama,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
trelegy ellipta,laba/lama/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
revefenacin,lama,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
glycopyrrolate-formoterol,lama/inhaled steroid,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
montelukast sodium,leucotrine antagonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
singulair,leucotrine antagonist,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
theophylline,methylxanthine,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
daliresp,pde4 inhibitor,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
roflumilast,pde4 inhibitor,asthma/ copd med,antiasthmatic and bronchodilator agents,respiratory agents,
enoxaparin sodium,heparin ,anticoagulants,anticoagulants,hematological agents,
heparin lock flush,heparin ,anticoagulants,anticoagulants,hematological agents,
heparin sodium,heparin ,anticoagulants,anticoagulants,hematological agents,
heparin sodium (porcine),heparin ,anticoagulants,anticoagulants,hematological agents,
lovenox ij,heparin ,anticoagulants,anticoagulants,hematological agents,
apixaban,noac,anticoagulants,anticoagulants,hematological agents,
arixtra sc,noac,anticoagulants,anticoagulants,hematological agents,
dabigatran etexilate mesylate,noac,anticoagulants,anticoagulants,hematological agents,
eliquis,noac,anticoagulants,anticoagulants,hematological agents,
eliquis dvt/pe starter pack,noac,anticoagulants,anticoagulants,hematological agents,
fondaparinux sodium,noac,anticoagulants,anticoagulants,hematological agents,
pradaxa,noac,anticoagulants,anticoagulants,hematological agents,
rivaroxaban,noac,anticoagulants,anticoagulants,hematological agents,
xarelto,noac,anticoagulants,anticoagulants,hematological agents,
coumadin,warfarin,anticoagulants,anticoagulants,hematological agents,
jantoven,warfarin,anticoagulants,anticoagulants,hematological agents,
warfarin sodium,warfarin,anticoagulants,anticoagulants,hematological agents,
aptiom,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
brivaracetam,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
briviact,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
carbamazepine,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
carbamazepine er,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
dilantin,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
eslicarbazepine acetate,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
ethosuximide,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
felbamate,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
fycompa,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
lacosamide,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
lamictal,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
lamotrigine,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
lamotrigine er,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
levetiracetam,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
levetiracetam er,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
oxcarbazepine,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
perampanel,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
phenytoin,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
phenytoin sodium extended,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
primidone,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
rufinamide,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
topamax,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
topiramate,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
trileptal,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
trokendi xr,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
vimpat,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
zonisamide,anticonvulsant,anticonvulsant,anticonvulsant,neuromuscular drugs,
clobazam,benzodiazepine,benzodiazepine,anticonvulsant,neuromuscular drugs,
clonazepam,benzodiazepine,benzodiazepine,anticonvulsant,neuromuscular drugs,
diastat adult re,benzodiazepine,benzodiazepine,anticonvulsant,neuromuscular drugs,
klonopin,benzodiazepine,anticonvulsant,anticonvulsant,neuromuscular drugs,
cannabidiol,cannabinoid,anticonvulsant,anticonvulsant,neuromuscular drugs,
neurontin,gabaergic,anticonvulsant,anticonvulsant,neuromuscular drugs,
pregabalin,gabaergic,anticonvulsant,anticonvulsant,neuromuscular drugs,
depakote,valproic acid,anticonvulsant,anticonvulsant,neuromuscular drugs,
divalproex sodium,valproic acid,anticonvulsant,anticonvulsant,neuromuscular drugs,
divalproex sodium er,valproic acid,anticonvulsant,anticonvulsant,neuromuscular drugs,
valproate sodium,valproic acid,anticonvulsant,anticonvulsant,neuromuscular drugs,
valproic acid,valproic acid,anticonvulsant,anticonvulsant,neuromuscular drugs,
phenelzine sulfate,maoi,antidepressants,antidepressants,central nervous system drugs,
mirtazapine,nassa,antidepressants,antidepressants,central nervous system drugs,
bupropion hbr,ndri,antidepressants,antidepressants,central nervous system drugs,
bupropion hbr er,ndri,antidepressants,antidepressants,central nervous system drugs,
bupropion hcl,ndri,antidepressants,antidepressants,central nervous system drugs,
bupropion hcl er,ndri,antidepressants,antidepressants,central nervous system drugs,
wellbutrin,ndri,antidepressants,antidepressants,central nervous system drugs,
trazodone hcl,sari,antidepressants,antidepressants,central nervous system drugs,
trazodone hcl er,sari,antidepressants,antidepressants,central nervous system drugs,
vortioxetine hbr,serotonin modulator,antidepressants,antidepressants,central nervous system drugs,
cymbalta,snri,antidepressants,antidepressants,central nervous system drugs,
desvenlafaxine succinate,snri,antidepressants,antidepressants,central nervous system drugs,
desvenlafaxine succinate er,snri,antidepressants,antidepressants,central nervous system drugs,
doxepin hcl,snri,antidepressants,antidepressants,central nervous system drugs,
effexor,snri,anti-depressant,antidepressants,central nervous system drugs,
effexor xr,snri,anti-depressant,antidepressants,central nervous system drugs,
venlafaxine hcl,snri,antidepressants,antidepressants,central nervous system drugs,
venlafaxine hcl er,snri,antidepressants,antidepressants,central nervous system drugs,
celexa,ssri,antidepressants,antidepressants,central nervous system drugs,
citalopram hydrobromide,ssri,antidepressants,antidepressants,central nervous system drugs,
duloxetine hcl,ssri,antidepressants,antidepressants,central nervous system drugs,
escitalopram oxalate,ssri,anti-depressant,antidepressants,central nervous system drugs,
